"MILUTINOV, NIKOLA",0:02,8,  2/3 ,0      ,0      ,4,5,9,0,0,0,0,2,1,1,13,11.26.2020,CSKA,Real Madrid,TRUE
"KURBANOV, NIKITA",13:32,0,0/1,0      ,0      ,0,1,1,0,0,0,0,0,4,2,-2,11.26.2020,CSKA,Real Madrid,TRUE
"CAUSEUR, FABIEN",0:00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11.26.2020,Real Madrid,CSKA,FALSE
"RANDOLPH, ANTHONY",22:49,13,  1/6 ,  3/7 ,  2/3 ,1,2,3,0,1,1,1,0,1,1,7,11.26.2020,Real Madrid,CSKA,FALSE
"ABALDE, ALBERTO",22:49,5,1      ,  1/3 ,0      ,0,1,1,1,1,0,0,0,4,1,3,11.26.2020,Real Madrid,CSKA,FALSE
"LAPROVITTOLA, NICOLAS",17:42,0,0/2,0/3,0      ,0,2,2,3,0,0,0,0,1,0,-1,11.26.2020,Real Madrid,CSKA,FALSE
"ALOCEN, CARLOS",7:15,2,  1/2 ,0/2,0      ,0,1,1,2,0,0,0,0,0,0,2,11.26.2020,Real Madrid,CSKA,FALSE
"DECK, GABRIEL",5:33,14,  5/7 ,0      ,1      ,1,2,3,1,0,3,0,0,2,2,13,11.26.2020,Real Madrid,CSKA,FALSE
"GARUBA, USMAN",4:15,0,0      ,0/1,0      ,0,0,0,0,0,0,0,0,1,0,-2,11.26.2020,Real Madrid,CSKA,FALSE
"CARROLL, JAYCEE",6:49,3,  1/2 ,0/1,1      ,0,0,0,0,0,1,0,0,0,2,2,11.26.2020,Real Madrid,CSKA,FALSE
"TAVARES, WALTER",23:47,8,  4/5 ,0      ,0      ,4,6,10,2,1,1,4,0,2,4,25,11.26.2020,Real Madrid,CSKA,FALSE
"LLULL, SERGIO",21:49,13,  1/7 ,  1/2 ,  1/2 ,1,3,4,6,1,0,0,1,3,3,12,11.26.2020,Real Madrid,CSKA,FALSE
"THOMPKINS, TREY",0:03,15,  3/4 ,  1/2 ,0      ,2,4,6,2,0,0,1,0,3,2,19,11.26.2020,Real Madrid,CSKA,FALSE
"TAYLOR, JEFFERY",19:09,0,0/1,0/1,0      ,0,2,2,1,0,0,0,0,1,0,0,11.26.2020,Real Madrid,CSKA,FALSE
"SHVED, ALEXEY",14:37,26,  7/8 ,  3/11,1      ,0,3,3,6,1,6,1,0,3,3,22,12.11.2020,Khimki,CSKA,TRUE
"MCCOLLUM, ERRICK",22:28,7,  2/7 ,0/2,  3/5 ,4,3,7,5,2,1,1,0,4,2,10,12.11.2020,Khimki,CSKA,TRUE
"TIMMA, JANIS",5:09,5,0/2,  1/4 ,  1/2 ,1,3,4,0,1,0,2,1,3,5,6,12.11.2020,Khimki,CSKA,TRUE
"ZAYTSEV, VYACHESLAV",2:37,0,0      ,0      ,0      ,0,0,0,2,0,0,0,0,1,0,1,12.11.2020,Khimki,CSKA,TRUE
"VIALTSEV, EGOR",0:00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12.11.2020,Khimki,CSKA,TRUE
"MONIA, SERGEY",11:34,9,0      ,  3/5 ,0      ,0,0,0,1,0,0,0,0,3,0,5,12.11.2020,Khimki,CSKA,TRUE
"MONROE, GREG",22:44,10,  1/2 ,0      ,  2/3 ,5,3,8,1,1,3,0,0,1,6,17,12.11.2020,Khimki,CSKA,TRUE
"JOVIC, STEFAN",1:21,2,  1/3 ,0      ,0      ,0,3,3,3,1,2,0,0,3,1,3,12.11.2020,Khimki,CSKA,TRUE
"BOOKER, DEVIN",8:24,1,0/2,0      ,  1/2 ,0,1,1,3,0,1,0,0,1,1,1,12.11.2020,Khimki,CSKA,TRUE
"JEREBKO, JONAS",21:41,16,  1/2 ,1      ,  3/4 ,1,1,2,1,0,0,1,0,2,2,17,12.11.2020,Khimki,CSKA,TRUE
"BERTANS, DAIRIS",0:00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12.11.2020,Khimki,CSKA,TRUE
"MICKEY, JORDAN",17:25,11,  4/5 ,  1/3 ,0/2,1,5,6,0,0,2,2,1,4,2,9,12.11.2020,Khimki,CSKA,TRUE
"BOLOMBOY, JOEL",11:12,10,  5/6 ,0      ,0      ,3,0,3,0,0,0,0,1,1,0,10,12.11.2020,CSKA,Khimki,FALSE
"KHOMENKO, ALEXANDER",7:37,4,  1/2 ,0      ,1      ,1,0,1,0,0,1,0,1,1,2,3,12.11.2020,CSKA,Khimki,FALSE
"JAMES, MIKE",8:40,36,  4/7 ,  6/7 ,  5/6 ,1,8,9,10,1,3,0,1,3,8,51,12.11.2020,CSKA,Khimki,FALSE
"HILLIARD, DARRUN",8:07,15,  3/7 ,  2/7 ,1      ,1,4,5,2,1,2,0,1,3,2,10,12.11.2020,CSKA,Khimki,FALSE
"UKHOV, IVAN",7:36,0,0      ,0/2,0      ,0,1,1,0,0,0,0,0,3,0,-4,12.11.2020,CSKA,Khimki,FALSE
