VOIGTMANN JOHANNES,15:13,5,0/4,1/2,2/2,5,2,7,0,1,0,1,0,2,1,8,01.15.2021,CSKA,Barcelona,TRUE
SHENGELIA TORNIKE,27:31,10,2/6,1/2,3/6,2,5,7,2,0,3,0,1,2,5,10,01.15.2021,CSKA,Barcelona,TRUE
MILUTINOV NIKOLA,26:18,15,5/6,0,5/6,5,1,6,1,0,0,0,0,2,5,23,01.15.2021,CSKA,Barcelona,TRUE
KURBANOV NIKITA,26:40,4,1/1,0/2,2/2,0,2,2,1,1,0,1,0,3,1,5,01.15.2021,CSKA,Barcelona,TRUE
BOLOMBOY JOEL,11:48,0,0/1,0/1,0,0,2,2,1,0,0,0,0,0,2,3,01.22.2021,CSKA,Fenerbahce,TRUE
JAMES MIKE,29:50,11,2/7,2/8,1/3,2,2,4,3,0,1,0,1,0,1,4,01.22.2021,CSKA,Fenerbahce,TRUE
HILLIARD DARRUN,23:00,8,2/5,0/2,4/4,0,4,4,1,1,0,1,2,4,2,6,01.22.2021,CSKA,Fenerbahce,TRUE
HACKETT DANIEL,18:10,12,3/4,1/3,3/5,0,0,0,0,0,1,0,0,4,9,11,01.22.2021,CSKA,Fenerbahce,TRUE
ANTONOV SEMEN,4:15,0,0/1,0,0,0,0,0,1,0,1,0,0,0,0,-1,01.22.2021,CSKA,Fenerbahce,TRUE
STRELNIEKS JANIS,16:52,12,3/3,2/3,0,0,0,0,1,0,0,0,0,4,0,8,01.22.2021,CSKA,Fenerbahce,TRUE
VOIGTMANN JOHANNES,15:44,3,0,1/2,0,0,5,5,1,0,1,0,0,3,0,4,01.22.2021,CSKA,Fenerbahce,TRUE
SHENGELIA TORNIKE,24:42,18,6/7,1/3,3/6,1,1,2,4,1,6,0,0,1,5,17,01.22.2021,CSKA,Fenerbahce,TRUE
MILUTINOV NIKOLA,28:10,12,4/5,0,4/4,3,4,7,2,0,0,0,0,1,2,21,01.22.2021,CSKA,Fenerbahce,TRUE
KURBANOV NIKITA,27:29,7,2/2,1/2,0,1,1,2,3,0,2,0,0,2,0,7,01.22.2021,CSKA,Fenerbahce,TRUE
BOLOMBOY JOEL,6:07,0,0,0,0/2,2,0,2,0,1,0,0,0,0,1,2,01.27.2021,CSKA,Alba,FALSE
KHOMENKO ALEXANDER,16:57,6,2/3,0/1,2/2,2,0,2,2,0,1,0,0,3,3,7,01.27.2021,CSKA,Alba,FALSE
HILLIARD DARRUN,12:58,3,1/4,0/3,1/2,0,2,2,0,1,3,0,2,1,1,-6,01.27.2021,CSKA,Alba,FALSE
UKHOV IVAN,10:30,6,0,2/3,0,1,2,3,2,0,2,0,0,1,0,7,01.27.2021,CSKA,Alba,FALSE
HACKETT DANIEL,22:09,13,2/6,1/2,6/6,0,2,2,0,2,1,0,0,4,6,13,01.27.2021,CSKA,Alba,FALSE
ANTONOV SEMEN,9:02,0,0/1,0,0,0,0,0,1,0,0,0,0,0,0,0,01.27.2021,CSKA,Alba,FALSE
STRELNIEKS JANIS,23:57,3,1/3,0/1,1/2,0,0,0,3,0,3,0,0,2,2,-1,01.27.2021,CSKA,Alba,FALSE
